directory,sample,total_events,valid_events
,NMSSM_X650_Y500.parquet,12209,12209
,NMSSM_X650_Y60.parquet,9702,9702
,NMSSM_X650_Y70.parquet,23455,23455
,NMSSM_X650_Y80.parquet,9887,9887
,NMSSM_X650_Y90.parquet,4616,4616
,NMSSM_X650_Y95.parquet,2522,2522
,NMSSM_X700_Y100.parquet,34601,34601
,NMSSM_X700_Y125.parquet,7411,7411
,NMSSM_X700_Y150.parquet,36041,36041
,NMSSM_X700_Y200.parquet,5421,5421
,NMSSM_X700_Y300.parquet,33664,33664
,NMSSM_X700_Y400.parquet,2649,2649
,NMSSM_X700_Y500.parquet,1474,1474
,NMSSM_X700_Y60.parquet,4472,4472
,NMSSM_X700_Y70.parquet,2568,2568
,NMSSM_X700_Y80.parquet,35017,35017
,NMSSM_X700_Y90.parquet,8284,8284
,NMSSM_X700_Y95.parquet,5662,5662
,NMSSM_X800_Y100.parquet,7044,7044
,NMSSM_X800_Y125.parquet,37727,37727
,NMSSM_X800_Y150.parquet,5176,5176
,NMSSM_X800_Y200.parquet,36771,36771
,NMSSM_X800_Y300.parquet,2421,2421
,NMSSM_X800_Y400.parquet,34566,34566
,NMSSM_X800_Y500.parquet,5469,5469
,NMSSM_X800_Y60.parquet,4853,4853
,NMSSM_X800_Y600.parquet,27117,27117
,NMSSM_X800_Y70.parquet,4991,4991
,NMSSM_X800_Y80.parquet,4746,4746
,NMSSM_X800_Y90.parquet,33183,33183
,NMSSM_X800_Y95.parquet,7516,7516
,NMSSM_X900_Y125.parquet,6648,6648
,NMSSM_X900_Y150.parquet,5562,5562
,NMSSM_X900_Y200.parquet,1796,1796
,NMSSM_X900_Y300.parquet,3337,3337
,NMSSM_X900_Y400.parquet,1047,1047
,NMSSM_X900_Y500.parquet,2791,2791
,NMSSM_X900_Y60.parquet,1726,1726
,NMSSM_X900_Y600.parquet,2032,2032
,NMSSM_X900_Y70.parquet,2106,2106
,NMSSM_X900_Y80.parquet,2133,2133
,NMSSM_X900_Y90.parquet,668,668
,NMSSM_X900_Y95.parquet,335,335
,QCD_PT-30To40.parquet,48,48
,QCD_PT-30ToInf.parquet,35,35
,QCD_PT-40ToInf.parquet,712,712
,TTGG.parquet,234446,234446
,TTG_100to200.parquet,5926,5926
,TTG_200.parquet,2359,2359
,VBFHToGG.parquet,254564,254564
,VHToGG.parquet,151046,151046
,ttHToGG.parquet,260781,260781
,2023_Data_EraC_NOTAG_merged.parquet,228290,228290
,2023_preBPix_GGJets_MGG-40to80.parquet,448669,448669
,2023_preBPix_GGJets_MGG-80.parquet,2095031,2095031
,2023_preBPix_GJetPt20To40.parquet,14226,14226
,2023_preBPix_GJetPt40.parquet,35942,35942
,2023_preBPix_GluGluHtoGG.parquet,168259,168259
,2023_preBPix_NMSSM_X500_Y150.parquet,8864,8864
,2023_preBPix_QCDPt30To40.parquet,30,30
,2023_preBPix_QCDPt40ToInf.parquet,561,561
,2023_preBPix_TTG_100to200.parquet,6989,6989
,2023_preBPix_TTG_200.parquet,4298,4298
,2023_preBPix_VBFHtoGG.parquet,123924,123924
,2023_preBPix_VHtoGG.parquet,83681,83681
,2023_preBPix__TTGG.parquet,86848,86848
,2023_preBPix_ttHtoGG.parquet,152270,152270
,DDQCDGJET_Rescaled.parquet,55712,55712
,NMSSM_X1000_Y100.parquet,6709,6709
,NMSSM_X1000_Y125.parquet,34601,34601
,NMSSM_X1000_Y150.parquet,490,490
,NMSSM_X1000_Y200.parquet,20469,20469
,NMSSM_X1000_Y300.parquet,11225,11225
,NMSSM_X1000_Y400.parquet,10960,10960
,NMSSM_X1000_Y500.parquet,7554,7554
,NMSSM_X1000_Y600.parquet,3127,3127
,NMSSM_X1000_Y800.parquet,5935,5935
,NMSSM_X1000_Y90.parquet,12790,12790
,NMSSM_X1000_Y95.parquet,5136,5136
,NMSSM_X300_Y100.parquet,2869,2869
,NMSSM_X300_Y125.parquet,839,839
,NMSSM_X300_Y150.parquet,2141,2141
,NMSSM_X300_Y90.parquet,19163,19163
,NMSSM_X300_Y95.parquet,8795,8795
,NMSSM_X400_Y100.parquet,5138,5138
,NMSSM_X400_Y125.parquet,6537,6537
,NMSSM_X400_Y150.parquet,10748,10748
,NMSSM_X400_Y200.parquet,10435,10435
,NMSSM_X400_Y90.parquet,12151,12151
,NMSSM_X400_Y95.parquet,7530,7530
,NMSSM_X500_Y100.parquet,8631,8631
,NMSSM_X500_Y125.parquet,8872,8872
,NMSSM_X500_Y150.parquet,8864,8864
,NMSSM_X500_Y200.parquet,8757,8757
,NMSSM_X500_Y300.parquet,8213,8213
,NMSSM_X500_Y90.parquet,8834,8834
,NMSSM_X500_Y95.parquet,2023,2023
,NMSSM_X550_Y100.parquet,26007,26007
,NMSSM_X550_Y125.parquet,18973,18973
,NMSSM_X550_Y150.parquet,5287,5287
,NMSSM_X550_Y200.parquet,7345,7345
,NMSSM_X550_Y300.parquet,3864,3864
,NMSSM_X550_Y400.parquet,11122,11122
,NMSSM_X550_Y90.parquet,411,411
,NMSSM_X550_Y95.parquet,7699,7699
,NMSSM_X600_Y100.parquet,7712,7712
,NMSSM_X600_Y125.parquet,433,433
,NMSSM_X600_Y150.parquet,4369,4369
,NMSSM_X600_Y300.parquet,7753,7753
,NMSSM_X600_Y400.parquet,3618,3618
,NMSSM_X600_Y90.parquet,5645,5645
,NMSSM_X600_Y95.parquet,3029,3029
,NMSSM_X650_Y100.parquet,7155,7155
,NMSSM_X650_Y150.parquet,4454,4454
